FR,,,,,EN,,,,ES,,,,DE,,,,IT,,,
Véhicule,,,,,Vehicle,,,,Vehículo,,,,Fahrzeug,,,,Veicolo,,,
,Changer le filtre à gasoil,,,01.03,Changing the diesel fuel filter,,,01.03,Cambiar el filtro de gasóil,,,01.03,Den Kraftstofffilter wechseln,,,01.03,Cambiare il filtro del gasolio ,,,01.03
,Préparation à l'opération,,1,,Preparing for the task,,1,,Preparar la operación,,1,,Den Vorgang vorbereiten,,1,,Prepararsi all'operazione,,1,
,Pas d'outils nécessaires,,T0,,No tools needed,,,,No se necesitan herramientas,,,,Keine Werkzeuge notwendig,,,,Non servono attrezzi,,,
,Changer le filtre à air,,2,,Changing the air filter,,2,,Cambiar el filtro de aire,,2,,Den Luftfilter wechseln,,2,,Cambiare il filtro dell'aria,,2,
,Petit cliquet,,T3,,small socket wrench,,,,llave de carraca pequeña,,,,Kleiner Steckschlüssel,,,,Chiave a bussola piccola,,,
,Douille Torx 25,,T35.25,,Torx T25 socket,,,,casquillo Torx 25,,,,Torx Steckschlüsseleinsatz 25,,,,Bussola Torx 25,,,
,Douille de 7,,T34.7,,7mm socket,,,,casquillo del 7,,,,7 mm Steckschlüsseleinsatz,,,,Bussola da 7,,,
,Remonter les éléments,,3,,Reassembling the other parts,,3,,Volver a montar las partes,,3,,Die Teile wieder zusammenbauen,,3,,Rimontare le parti,,3,
,Petit cliquet,,T3,,small socket wrench,,,,llave de carraca pequeña,,,,Kleiner Steckschlüssel,,,,Chiave a bussola piccola,,,
,Douille Torx 25,,T35.25,,Torx T25 socket,,,,casquillo Torx 25,,,,Torx Steckschlüsseleinsatz 25,,,,Bussola Torx 25,,,
,Douille de 7,,T34.7,,7mm Socket,,,,Casquillo del 7,,,,7 mm Steckschlüsseleinsatz,,,,Bussola da 7,,,
,Changer le filtre à air,,,02.05,Changing the air filter,,,02.05,Cambiar el filtro de aire,,,02.05,Den Luftfilter wechseln,,,02.05,Cambiare il filtro dell'aria,,,02.05
,Préparation à l'opération,,1,,Preparing for the task,,1,,Preparar la operación,,1,,Den Vorgang vorbereiten,,1,,Prepararsi all'operazione,,1,
,Pas d'outils nécessaires,,T0,,No tools needed,,,,No se necesitan herramientas,,,,Keine Werkzeuge notwendig,,,,Non servono attrezzi,,,
,Changer le filtre à air,,2,,Changing the air filter,,2,,Cambiar el filtro de aire,,2,,Den Luftfilter wechseln,,2,,Cambiare il filtro dell'aria,,2,
,Petit cliquet,,T3,,small socket wrench,,,,llave de carraca pequeña,,,,Kleiner Steckschlüssel,,,,Chiave a bussola piccola,,,
,Douille Torx 25,,T35.25,,Torx T25 socket,,,,casquillo Torx 25,,,,Torx Steckschlüsseleinsatz 25,,,,Bussola Torx 25,,,
,Douille de 7,,T34.7,,7mm Socket,,,,Casquillo del 7,,,,7 mm Steckschlüsseleinsatz,,,,Bussola da 7,,,
,Remonter les éléments,,3,,Reassembling the other parts,,3,,Volver a montar las partes,,3,,Die Teile wieder zusammenbauen,,3,,Rimontare le parti,,3,
,Petit cliquet,,T3,,small socket wrench,,,,llave de carraca pequeña,,,,Kleiner Steckschlüssel,,,,Chiave a bussola piccola,,,
,Douille Torx 25,,T35.25,,Torx T25 socket,,,,casquillo Torx 25,,,,Torx Steckschlüsseleinsatz 25,,,,Bussola Torx 25,,,
,Douille de 7,,T34.7,,7mm Socket,,,,Casquillo del 7,,,,7 mm Steckschlüsseleinsatz,,,,Bussola da 7,,,
,Vidanger et changer le filtre à huile ,,,01.07,Draining and changing the oil filter,,,01.07,Vaciar y cambiar el filtro de aceite,,,01.07,Den Ölfilter leeren und wechseln,,,01.07,Svuotare e cambiare il filtro dell'olio,,,01.07
,Préparation à l'opération,,1,,Preparing for the task,,1,,Preparar la operación,,1,,Den Vorgang vorbereiten,,1,,Prepararsi all'operazione,,1,
,Cric hydraulique,,T46,,Hydraulic jack ,,,,Gato,,,,Hydraulischer Wagenheber,,,,cric idraulico,,,
,Chandelle,,T47,,Axle stand,,,,Borriqueta,,,,Unterstellbock,,,,cavalletto,,,
,Taquet de bois,,T48,,Wooden peg,,,,Taco de madera,,,,Holzknagge,,,,zeppa di legno,,,
,Vidange et Changer le filtre à huile ,,2,,Draining and changing the oil filter,,2,,Vaciar y cambiar el filtro de aceite,,2,,Den Ölfilter leeren und wechseln,,2,,Svuotare e cambiare il filtro dell'olio,,2,
,Bac de récupération,,T49,,Liquid collector,,,,Cubeta de recuperación,,,,Auffangbehälter,,,,Contenitore per recupero liquidi,,,
,Cliquet + rallonge,,T5,,Socket wrench + extender,,,,Llave de carraca + alargador,,,,Steckschlüssel + Verlängerung,,,,Chiave a bussola + prolunga,,,
,Douille Torx 45,,T35.45,,Torx T45 socket,,,,Casquillo Torx 45,,,,Torx Steckschlüsseleinsatz 45,,,,Bussola Torx 45,,,
,Douille de 7,,T34.7,,7mm Socket,,,,Casquillo del 7,,,,7 mm Steckschlüsseleinsatz,,,,Bussola da 7,,,
,Douille de 8,,T34.8,,8mm socket,,,,casquillo del 8,,,,8 mm Steckschlüsseleinsatz,,,,Bussola da 8,,,
,Douille Torx 30,,T35.30,,Torx T30 socket,,,,casquillo Torx 30,,,,Torx Steckschlüsseleinsatz 30,,,,Bussola Torx 30,,,
,Douille de 10,,T34.10,,10mm Socket,,,,Casquillo del 10,,,,10 mm Steckschlüsseleinsatz,,,,Bussola da 10,,,
,Douille de 27,,T34.27,,27mm Socket,,,,Casquillo del 27,,,,27 mm Steckschlüsseleinsatz,,,,Bussola da 27,,,
,Tournevis plat fin,,T25,,Thin flat head screwdriver,,,,Destornillador plano fino,,,,Schmaler Flachschraubenzieher,,,,Cacciavite a taglio sottile,,,
,Nettoyant frein,,C91,,Brake cleaner,,,,Limpiador de frenos,,,,Bremsenreiniger,,,,Detergente freni,,,
,Remettre de l'huile,,3,,Filling with oil,,3,,Volver a poner aceite,,3,,Öl einfüllen,,3,,Rimettere l'olio,,3,
,Huile moteur,,C57,,Motor oil,,,,Aceite de motor,,,,Motoröl,,,,Olio motore,,,
,Entonnoir,,T60,,Funnel,,,,Embudo,,,,Trichter,,,,Imbuto,,,
,Chiffon,,T59,,Piece of tissue,,,,Trapo,,,,Putzlappen,,,,Straccio,,,
,Cric hydraulique,,T46,,Hydraulic jack ,,,,Gato,,,,Hydraulischer Wagenheber,,,,cric idraulico,,,
,Chandelle,,T47,,Axle stand,,,,Borriqueta,,,,Unterstellbock,,,,cavalletto,,,
,Taquet de bois,,T48,,Wooden peg,,,,Taco de madera,,,,Holzknagge,,,,zeppa di legno,,,
,Ajuster le niveau d'huile ,,4,,Adjusting the oil level,,4,,Ajustar el nivel de aceite,,4,,Den Ölstand anpassen,,4,,Regolare il livello dell'olio,,4,
,Huile moteur,,C57,,Motor oil,,,,Aceite de motor,,,,Motoröl,,,,Olio motore,,,
,Verre doseur,,T56,,Measuring cup,,,,Vaso dosificador,,,,Dosierglas,,,,Vaso dosatore,,,
,Chiffon,,T59,,Piece of tissue,,,,Trapo,,,,Putzlappen,,,,Straccio,,,
,Vidanger et changer le filtre à huile ,,,02.07,Draining and changing the oil filter,,,02.07,Vaciar y cambiar el filtro de aceite,,,02.07,Den Ölfilter leeren und wechseln,,,02.07,Svuotare e cambiare il filtro dell'olio,,,02.07
,Préparation à l'opération,,1,,Preparing for the task,,1,,Preparar la operación,,1,,Den Vorgang vorbereiten,,1,,Prepararsi all'operazione,,1,
,Cric hydraulique,,T46,,Hydraulic jack ,,,,Gato,,,,Hydraulischer Wagenheber,,,,cric idraulico,,,
,Chandelle,,T47,,Axle stand,,,,Borriqueta,,,,Unterstellbock,,,,cavalletto,,,
,Taquet de bois,,T48,,Wooden peg,,,,Taco de madera,,,,Holzknagge,,,,zeppa di legno,,,
,Vidange et Changer le filtre à huile ,,2,,Draining and changing the oil filter,,2,,Vaciar y cambiar el filtro de aceite,,2,,Den Ölfilter leeren und wechseln,,2,,Svuotare e cambiare il filtro dell'olio,,2,
,Cliquet,,T2,,Socket wrench,,,,Llave de carraca,,,,Steckschlüssel,,,,Chiave a bussola,,,
,Douille Allen de 7,,T36.7,,7mm Allen socket,,,,Casquillo Allen del 7,,,,7mm Imbusschlüssel-Einsatz,,,,Bussola brugola da 7,,,
,Bac de récupération,,T49,,Liquid collector,,,,Cubeta de recuperación,,,,Auffangbehälter,,,,Contenitore per recupero liquidi,,,
,Cliquet + grande rallonge,,T8,,Socket wrench + long extender,,,,Llave de carraca + grande alargador,,,,Steckschlüssel + lange Verlängerung,,,,Chiave a bussola + prolunga grande,,,
,Douille de 32,,T34.32,,32mm Socket,,,,Casquillo del 32,,,,32 mm Steckschlüsseleinsatz,,,,Bussola da 32,,,
,Tournevis plat fin,,T25,,Thin flat head screwdriver,,,,Destornillador plano fino,,,,Schmaler Flachschraubenzieher,,,,Cacciavite a taglio sottile,,,
,Nettoyant frein,,C91,,Brake cleaner,,,,Limpiador de frenos,,,,Bremsenreiniger,,,,Detergente freni,,,
,Essuie-tout,,T63,,Paper towel,,,,Papel de cocina,,,,Haushaltspapier,,,,Carta assorbente,,,
,Remettre de l'huile,,3,,Filling with oil,,3,,Volver a poner aceite,,3,,Öl einfüllen,,3,,Rimettere l'olio,,3,
,Huile moteur,,C57,,Motor oil,,,,Aceite de motor,,,,Motoröl,,,,Olio motore,,,
,Entonnoir,,T60,,Funnel,,,,Embudo,,,,Trichter,,,,Imbuto,,,
,Chiffon,,T59,,Piece of tissue,,,,Trapo,,,,Putzlappen,,,,Straccio,,,
,Cric hydraulique,,T46,,Hydraulic jack ,,,,Gato,,,,Hydraulischer Wagenheber,,,,cric idraulico,,,
,Chandelle,,T47,,Axle stand,,,,Borriqueta,,,,Unterstellbock,,,,cavalletto,,,
,Taquet de bois,,T48,,Wooden peg,,,,Taco de madera,,,,Holzknagge,,,,zeppa di legno,,,
,Ajuster le niveau d'huile ,,4,,Adjusting the oil level,,4,,Ajustar el nivel de aceite,,4,,Den Ölstand anpassen,,4,,Regolare il livello dell'olio,,4,
,Huile moteur,,C57,,Motor oil,,,,Aceite de motor,,,,Motoröl,,,,Olio motore,,,
,Verre doseur,,T56,,Measuring cup,,,,Vaso dosificador,,,,Dosierglas,,,,Vaso dosatore,,,
,Chiffon,,T59,,Piece of tissue,,,,Trapo,,,,Putzlappen,,,,Straccio,,,
,Changer le filtre à pollen,,,00.11,Changing the cabin filter,,,00.11,Cambiar el filtro antipolen,,,00.11,Den Pollenfilter wechseln,,,00.11,Cambiare il filtro antipolline,,,00.11
,Retirer le filtre à pollen ,,1,,Removing the cabin filter,,1,,Quitar el filtro antipolen,,1,,Den Pollenfilter entfernen,,1,,Rimuovere il filtro antipolline,,1,
,Tournevis à embout,,T33,,Multi-bit screwdriver,,,,Destornillador multipuntas,,,,Einsatzschraubenzieher,,,,Cacciavite multipunta,,,
,Embout Torx 25,,T45.25,,Torx T25 bit,,,,Punta Torx 25,,,,Torx Einsatz 25,,,,Bussola Torx 25,,,
,Aspirateur (facultatif),,T80,,Vacuum cleaner (optional),,,,Aspiradora (opcional),,,,Staubsauger (optional),,,,Aspiratore (facoltativo),,,
,Changer le filtre,,2,,Changing the cabin filter,,2,,Cambiar el filtro,,2,,Den Pollenfilter wechseln,,2,,Cambiare il filtro,,2,
,Pas d'outils nécessaires,,T0,,No tools needed,,,,No se necesitan herramientas,,,,Keine Werkzeuge notwendig,,,,Non servono attrezzi,,,
,Remonter les éléments,,3,,Reassembling the other parts,,3,,Volver a montar las partes,,3,,Die Teile wieder zusammenbauen,,3,,Rimontare le parti,,3,
,Tournevis à embout,,T33,,Multi-bit screwdriver,,,,Destornillador multipuntas,,,,Einsatzschraubenzieher,,,,Cacciavite multipunta,,,
,Embout Torx 25,,T45.25,,Torx T25 bit,,,,Punta Torx 25,,,,Torx Einsatz 25,,,,Bussola Torx 25,,,
