FR,,,,,EN,,,,ES,,,,DE,,,,IT,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Remonter les éléments,,4,,Reassembling the other parts,,4,,Volver a montar las partes,,4,,Die Teile wieder zusammenbauen,,4,,Rimontare le parti,,4,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Changer le filtre à air,,,05.02,Changing the air filter,,,05.02,Cambiar el filtro de aire,,,05.02,Den Luftfilter wechseln,,,05.02,Cambiare il filtro dell'aria,,,05.02
,Préparation à l'opération,,1,,Preparing for the task,,1,,Preparar la operación,,1,,Den Vorgang vorbereiten,,1,,Prepararsi all'operazione,,1,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Accéder au filtre à air,,2,,Accessing the air filter,,2,,Acceder al filtro de aire,,2,,Zugang zum Luftfilter schaffen,,2,,Accedere al filtro dell'aria,,2,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Changer le filtre  à air,,3,,Changing the air filter,,3,,Cambiar el filtro de aire,,3,,Den Luftfilter wechseln,,3,,Cambiare il filtro dell'aria,,3,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Remonter les éléments,,4,,Reassembling the other parts,,4,,Volver a montar las partes,,4,,Die Teile wieder zusammenbauen,,4,,Rimontare le parti,,4,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Vidanger et changer le filtre à huile ,,,07.01,Draining and changing the oil filter,,,07.01,Vaciar y cambiar el filtro de aceite,,,07.01,Den Ölfilter leeren und wechseln,,,07.01,Svuotare e cambiare il filtro dell'olio,,,07.01
,Préparer le véhicule ,,1,,Preparing for the task,,1,,Preparar el vehículo,,1,,Den Vorgang vorbereiten,,1,,Preparare il veicolo,,1,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Vidange et Changer le filtre à huile ,,2,,Draining and changing the oil filter,,2,,Vaciar y cambiar el filtro de aceite,,2,,Den Ölfilter leeren und wechseln,,2,,Svuotare e cambiare il filtro dell'olio,,2,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Remettre de l'huile,,3,,Filling with oil,,3,,Volver a poner aceite,,3,,Öl einfüllen,,3,,Rimettere l'olio,,3,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Ajuster le niveau d'huile ,,4,,Adjusting the oil level,,4,,Ajustar el nivel de aceite,,4,,Den Ölstand anpassen,,4,,Regolare il livello dell'olio,,4,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Vidanger et changer le filtre à huile ,,,07.02,Draining and changing the oil filter,,,07.02,Vaciar y cambiar el filtro de aceite,,,07.02,Den Ölfilter leeren und wechseln,,,07.02,Svuotare e cambiare il filtro dell'olio,,,07.02
,Préparer le véhicule ,,1,,Preparing for the task,,1,,Preparar el vehículo,,1,,Den Vorgang vorbereiten,,1,,Preparare il veicolo,,1,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Vidange et Changer le filtre à huile ,,2,,Draining and changing the oil filter,,2,,Vaciar y cambiar el filtro de aceite,,2,,Den Ölfilter leeren und wechseln,,2,,Svuotare e cambiare il filtro dell'olio,,2,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Remettre de l'huile,,3,,Filling with oil,,3,,Volver a poner aceite,,3,,Öl einfüllen,,3,,Rimettere l'olio,,3,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Ajuster le niveau d'huile ,,4,,Adjusting the oil level,,4,,Ajustar el nivel de aceite,,4,,Den Ölstand anpassen,,4,,Regolare il livello dell'olio,,4,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Changer les plaquettes arrière,,,08,Changing the rear brake pads,,,08,Cambiar las pastillas de detrás,,,08,Die Bremsbeläge wechseln,,,08,Cambiare le pastiglie dei freni posteriori,,,08
,Préparation à l'opération,,1,,Preparing for the task,,1,,Preparar la operación,,1,,Den Vorgang vorbereiten,,1,,Prepararsi all'operazione,,1,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Retirer les plaquettes,,2,,Removing the brake pads,,2,,Retirar las pastillas,,2,,Die Bremsbeläge entfernen,,2,,Rimuovere le pastiglie,,2,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Changer les plaquettes,,3,,Changing the brake pads,,3,,Cambiar las pastillas,,3,,Die Bremsbeläge wechseln,,3,,Cambiare le pastiglie,,3,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Remettre en place le véhicule,,4,,Putting the vehicle back in place,,4,,Volver a colocar el vehículo,,4,,Das Fahrzeug zurückstellen,,4,,Rimettere a posto il veicolo,,4,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Changer disques et plaquettes arrière,,,09,Changing the rear brake discs and pads,,,09,Cambiar los discos y pastillas de detrás,,,09,Die Bremsscheiben und -beläge wechseln,,,09,Cambiare il disco e le pastiglie,,,09
,Préparation à l'opération,,1,,Preparing for the task,,1,,Preparar la operación,,1,,Den Vorgang vorbereiten,,1,,Prepararsi all'operazione,,1,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Retirer le disque,,2,,Removing the brake disc,,2,,Retirar el disco,,2,,Die Bremsscheibe entfernen,,2,,Rimuovere il disco ,,2,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Changer le disque,,3,,Changing the brake disc,,3,,Cambiar el disco,,3,,Die Bremsscheibe wechseln,,3,,Cambiare disco,,3,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Changer les plaquettes,,4,,Changing the brake pads,,4,,Cambiar las pastillas,,4,,Die Bremsbeläge wechseln,,4,,Cambiare le pastiglie,,4,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Remettre en place le véhicule,,5,,Putting the vehicle back in place,,5,,Volver a colocar el vehículo,,5,,Das Fahrzeug zurückstellen,,5,,Rimettere a posto il veicolo,,5,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Vérifier les niveaux ,,,10,Checking the fluid levels,,,10,Verificar los niveles,,,10,Flüssigkeitsstände prüfen,,,10,Verificare i livelli,,,10
,Vérifier le niveau d'huile,,1,,Checking the oil level,,1,,Verificar el nivel de aceite,,1,,Den Ölstand prüfen,,1,,Verificare il livello dell'olio,,1,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Vérifier le niveau de liquide de refroidissement,,2,,Checking the coolant level,,2,,Verificar el nivel de líquido refrigerante,,2,,Den Kühlerflüssigkeitsstand prüfen,,2,,Verificare il livello del liquido di raffreddamento,,2,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Vérifier le niveau de liquide de frein,,3,,Checking the brake fluid,,3,,Verificar el nível de líquido de frenos,,3,,Den Bremsflüssigkeitsstand prüfen,,3,,Verificare il livello del liquido dei freni,,3,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Changer le filtre à pollen,,,11,Changing the cabin filter,,,11,Cambiar el filtro antipolen,,,11,Den Pollenfilter wechseln,,,11,Cambiare il filtro antipolline,,,11
,Retirer le filtre à pollen ,,1,,Removing the cabin filter,,1,,Quitar el filtro antipolen,,1,,Den Pollenfilter entfernen,,1,,Rimuovere il filtro antipolline,,1,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Changer le filtre,,2,,Changing the cabin filter,,2,,Cambiar el filtro,,2,,Den Pollenfilter wechseln,,2,,Cambiare il filtro,,2,
,,,,,,,,,,,,,,,,,,,,
,Remonter les éléments,,3,,Reassembling the other parts,,3,,Volver a montar las partes,,3,,Die Teile wieder zusammenbauen,,3,,Rimontare le parti,,3,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Changer le poste-radio ,,,12,Changing the car radio,,,12,Cambiar la radio,,,12,Das Autoradio wechseln,,,12,Cambiare l'autoradio,,,12
,Retirer l'ancien poste radio,,1,,Removing the old car radio,,1,,Quitar la radio antigua,,1,,Das alte Autoradio entfernen,,1,,Togliere l'autoradio vecchia,,1,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Préparer  la mise en place du nouveau poste radio  ,,2,,Preparing the new car radio for installation,,2,,Preparar la nueva radio para su instalación,,2,,Den Einbau des neuen Autoradios vorbereiten,,2,,Preparare l'installazione della nuova autoradio,,2,
,,,,,,,,,,,,,,,,,,,,
,Mise en place du nouveau poste radio,,3,,Reassembling the new car radio,,3,,Colocar la nueva radio,,3,,Das neue Autoradio einbauen,,3,,Inserire la nuova radio,,3,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Changer la batterie,,,13.01,Changing the battery,,,13.01,Cambiar la batería,,,13.01,Die Autobatterie wechseln,,,13.01,Cambiare la batteria,,,13.01
,Préparation à l'opération,,1,,Preparing for the task,,1,,Preparar la operación,,1,,Den Vorgang vorbereiten,,1,,Prepararsi all'operazione,,1,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Retirer la batterie,,2,,Removing the battery,,2,,Retirar la batería,,2,,Die Autobatterie entfernen,,2,,Rimuovere la batteria,,2,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Installer la nouvelle batterie ,,3,,Installing the new battery,,3,,Instalar la nueva batería,,3,,Die neue Autobatterie einbauen,,3,,Installare la nuova batteria,,3,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Changer la batterie,,,13.02,Changing the battery,,,13.02,Cambiar la batería,,,13.02,Die Autobatterie wechseln,,,13.02,Cambiare la batteria,,,13.02
,Préparation à l'opération,,1,,Preparing for the task,,1,,Preparar la operación,,1,,Den Vorgang vorbereiten,,1,,Prepararsi all'operazione,,1,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Retirer la batterie,,2,,Removing the battery,,2,,Retirar la batería,,2,,Die Autobatterie entfernen,,2,,Rimuovere la batteria,,2,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Installer la nouvelle batterie ,,3,,Installing the new battery,,3,,Instalar la nueva batería,,3,,Die neue Autobatterie einbauen,,3,,Installare la nuova batteria,,3,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Changer les vérins de coffre,,,15,Changing the trunk jacks,,,15,Cambiar los muelles del maletero,,,15,Den Kofferraumdämpfer wechseln,,,15,Cambiare i pistoni del portellone,,,15
,Retirer les vérins de coffre ,,1,,Removing the trunk jacks,,1,,Retirar los muelles del maletero,,1,,Den Kofferraumdämpfer entfernen,,1,,Rimuovere i pistoni,,1,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Installer les nouveaux vérins ,,2,,Reassembling the new trunk jacks,,2,,Instalar los nuevos muelles,,2,,Den neuen Kofferraumdämpfer einbauen,,2,,Installare i nuovi pistoni,,2,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Changer le silencieux d'échappement,,,16,Changing the exhaust muffler,,,16,Cambiar el silenciador de escape,,,16,Den Abgasschalldämpfer wechseln,,,16,Cambiare la marmitta,,,16
,Préparation à l'opération,,1,,Preparing for the task,,1,,Preparar la operación,,1,,Den Vorgang vorbereiten,,1,,Prepararsi all'operazione,,1,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Retirer le silencieux d'échappement,,2,,Removing the exhaust muffler,,2,,Retirar el silenciador de escape,,2,,Den Abgasschalldämpfer entfernen,,2,,Togliere la marmitta,,2,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Changer le silencieux d'échappement,,3,,Changing the exhaust muffler,,3,,Cambiar el silenciador de escape,,3,,Den Abgasschalldämpfer wechseln,,3,,Cambiare la marmitta,,3,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Remettre en place le véhicule,,4,,Putting the vehicle back in place,,4,,Volver a colocar el vehículo,,4,,Das Fahrzeug zurückstellen,,4,,Rimettere a posto il veicolo,,4,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Changer les essuie-glaces ,,,17,Changing the windshield wipers,,,17,Cambiar las escobillas limpiaparabrisas,,,17,Die Scheibenwischer wechseln,,,17,Cambiare le spazzole del tergicristallo,,,17
,Essuie-glaces avant ,,1,,Front windshield wipers,,1,,Escobillas limpiaparabrisas de delante,,1,,Frontscheibenwischer,,1,,Spazzole tergicristallo anteriore,,1,
,,,,,,,,,,,,,,,,,,,,
,Essuie-glaces arrière,,2,,Rear windshield wipers,,2,,Escobillas limpiaparabrisas de detrás,,2,,Heckscheibenwischer,,2,,Spazzole tergicristallo posteriore,,2,
,,,,,,,,,,,,,,,,,,,,
,Changer les ampoules avant,,,18A,Changing the front lightbulbs,,,18A,Cambiar las bombillas de delante,,,18A,Die Glühbirnen vorne wechseln,,,18A,Cambiare le luci anteriori,,,18A
,Eclairage avant ,,1,,Front lightbulbs,,1,,Bombillas de delante,,1,,Vorderlicht,,1,,Luci anteriori,,1,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Changer les ampoules arrière,,,18B,Changing the rear lightbulbs,,,18B,Cambiar las bombillas de detrás,,,18B,Die Glühbirnen hinten wechseln,,,18B,Cambiare le luci posteriori,,,18B
,Eclairage arrière ,,1,,Rear lightbulbs,,1,,Bombillas de detrás,,1,,Hinterlicht,,1,,Luci posteriori,,1,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Glaces de rétroviseurs,,,19,Changing the side mirror glass,,,19,Cambiar los cristales de espejo,,,19,Rückspiegelgläser wechseln,,,19,Cambiare i vetri degli specchietti,,,19
,Retirer la glace de rétroviseur,,1,,Extract the side mirror glass,,1,,Retirar el cristal de espejo,,1,,Das Spigelglas aus dem Rückspiegel entfernen,,1,,Smontare il vetro dello specchietto,,1,
,,,,,,,,,,,,,,,,,,,,
,Mettre en place la nouvelle glace ,,2,,Installing the new mirror,,2,,Colocar el nuevo cristal,,2,,Das neue Spiegelglas einbauen,,2,,Montare il nuovo vetro,,2,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Nettoyer la vanne EGR,,,20,Cleaning the EGR Valve,,,20,Limpiar la válvula EGR,,,20,Das AGR-Ventil reinigen,,,20,Pulire la valvola EGR,,,20
,Préparation à l'opération,,1,,Preparing for the task,,1,,Preparar la operación,,1,,Den Vorgang vorbereiten,,1,,Prepararsi all'operazione,,1,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Retirer la vanne EGR,,2,,Extract the EGR valve,,2,,Retirar la válvula EGR,,2,,DAs AGR-Ventil entfernen,,2,,Estrarre la valvola EGR,,2,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Nettoyer la vanne EGR,,3,,Cleaning the EGR valve,,3,,Limpiar la válvula EGR,,3,,Das AGR-Ventil reinigen,,3,,Pulire la valvola EGR,,3,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Remettre en place la vanne EGR,,4,,Putting the valve back in place,,4,,Volver a colocar la válvula,,4,,Das AGR-Ventil wieder einbauen,,4,,Rimontare la valvola EGR,,4,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Changer les bougies d'allumage,,,21,Changing the spark plugs,,,21,Cambiar las bujías,,,21,Die Zündkerzen wechseln,,,21,Cambiare le candele,,,21
,Préparation à l'opération,,1,,Preparing for the task,,1,,Preparar la operación,,1,,Den Vorgang vorbereiten,,1,,Prepararsi all'operazione,,1,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Retirer les bougies,,2,,Removing the spark plugs,,2,,Retirar las bujías,,2,,Die Zündkerzen entfernen,,2,,Estrarre le candele,,2,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Installer les nouvelles bougies ,,3,,Installing the new spark plugs,,3,,Instalar las nuevas bujías,,3,,Die neuen Zündkerzen einbauen,,3,,Montare le nuove candele,,3,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Changer la biellette et la rotule de direction,,,24,Changing the tie rod axle joint and the tie rod end,,,24,Cambiar la barra de acoplamiento y la rótula de dirección,,,24,Die Lenkschubstange und das Spurstangenendstück wechseln,,,24,Cambiare lo snodo assiale e la testina sterzo,,,24
,Préparation à l'opération,,1,,Preparing for the task,,1,,Preparar la operación,,1,,Den Vorgang vorbereiten,,1,,Prepararsi all'operazione,,1,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Retirer la rotule de direction,,2,,Removing the tie rod end,,2,,Retirar la rótula de dirección,,2,,Das Spurstangenendstück enfernen,,2,,Togliere lo snodo dello sterso,,2,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Retirer la biellette de direction,,3,,Removing the tie rod axle joint,,3,,Retirar la barra de acoplamiento,,3,,Die Lenkschubstange entfernen,,3,,Togliere la testina dello sterzo,,3,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Changer la biellette de direction,,4,,Changing the tie rod axle joint,,4,,Cambiar la barra de acoplamiento,,4,,Die Lenkschubstange wechseln,,4,,Cambiare lo snodo dello sterzo,,4,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Changer la rotule de direction,,5,,Changing the tie rod end,,5,,Cambiar las rótulas de dirección,,5,,Das Spurstangenendstück wechseln,,5,,Cambiare la testina dello sterzo,,5,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Changer la rotule de direction,,,25,Changing the tie rod end,,,25,Cambiar las rótulas de dirección,,,25,Das Spurstangenendstück wechseln,,,25,Cambiare la testina sterzo,,,25
,Préparation à l'opération,,1,,Preparing for the task,,1,,Preparar la operación,,1,,Den Vorgang vorbereiten,,1,,Prepararsi all'operazione,,1,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Retirer  la rotule de direction,,2,,Removing the tie rod end,,2,,Retirar las rótulas de dirección,,2,,Das Spurstangenendstück enfernen,,2,,Togliere la testina dello sterzo,,2,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
